"","location_dest","location_origin","total","long_origin","lat_origin","long_dest","lat_dest"
"1","Abilene TX","Champaign/Urbana IL",1,-88.27805556,40.03925,-99.68189722,32.41132
"2","Abilene TX","Dallas-Fort Worth TX",2660,-97.0372,32.89595056,-99.68189722,32.41132
"3","Adak AK","Anchorage AK",102,-149.9961856,61.17432028,-176.6460306,51.87796389
"4","Aguadilla PR","New York NY",661,-73.97208306,40.74260167,-67.12944444,18.49486111
"5","Aguadilla PR","Newark NJ",366,-74.16866056,40.69249722,-67.12944444,18.49486111
"6","Aguadilla PR","Orlando FL",492,-81.43708333,28.28980556,-67.12944444,18.49486111
"7","Akron OH","Atlanta GA",3902,-84.42694444,33.64044444,-81.46693944,41.0375
"8","Akron OH","New York NY",793,-73.97208306,40.74260167,-81.46693944,41.0375
"9","Akron OH","Detroit MI",1044,-83.00986111,42.40919444,-81.46693944,41.0375
"10","Akron OH","Chicago IL",1047,-87.60791167,41.85884389,-81.46693944,41.0375
"11","Akron OH","Tampa FL",359,-82.53325,27.97547222,-81.46693944,41.0375
"12","Akron OH","Fayetteville/Springdale/Rogers AR",1,-94.30681111,36.28186944,-81.46693944,41.0375
"13","Akron OH","Covington KY",39,-84.6621725,39.04614278,-81.46693944,41.0375
"14","Akron OH","Orlando FL",371,-81.43708333,28.28980556,-81.46693944,41.0375
"15","Akron OH","Boston MA",467,-71.00517917,42.3643475,-81.46693944,41.0375
"16","Akron OH","Ft. Myers FL",138,-81.86325,26.58661111,-81.46693944,41.0375
"17","Akron OH","Denver CO",780,-104.8492942,39.57012833,-81.46693944,41.0375
"18","Akron OH","Ft. Lauderdale FL",8,-80.15275,26.07258333,-81.46693944,41.0375
"19","Akron OH","Las Vegas NV",43,-115.1327708,35.97636444,-81.46693944,41.0375
"20","Akron OH","Syracuse NY",1,-76.10631056,43.11118694,-81.46693944,41.0375
"21","Albany GA","Atlanta GA",1095,-84.42694444,33.64044444,-84.19447333,31.535515
"22","Albany NY","Ft. Lauderdale FL",60,-80.15275,26.07258333,-73.80297861,42.74811944
"23","Albany NY","Charlotte NC",978,-80.94312583,35.21401111,-73.80297861,42.74811944
"24","Albany NY","Newark NJ",619,-74.16866056,40.69249722,-73.80297861,42.74811944
"25","Albany NY","Las Vegas NV",366,-115.1327708,35.97636444,-73.80297861,42.74811944
"26","Albany NY","Atlanta GA",1153,-84.42694444,33.64044444,-73.80297861,42.74811944
"27","Albany NY","Philadelphia PA",448,-75.24114083,39.87195278,-73.80297861,42.74811944
"28","Albany NY","Covington KY",912,-84.6621725,39.04614278,-73.80297861,42.74811944
"29","Albany NY","Detroit MI",1013,-83.00986111,42.40919444,-73.80297861,42.74811944
"30","Albany NY","New York NY",364,-73.97208306,40.74260167,-73.80297861,42.74811944
"31","Albany NY","Chicago IL",2361,-87.60791167,41.85884389,-73.80297861,42.74811944
"32","Albany NY","Orlando FL",1040,-81.43708333,28.28980556,-73.80297861,42.74811944
"33","Albany NY","Tampa FL",391,-82.53325,27.97547222,-73.80297861,42.74811944
"34","Albany NY","Arlington VA",304,-77.03772222,38.85208333,-73.80297861,42.74811944
"35","Albany NY","Minneapolis MN",57,-93.21138889,45.145,-73.80297861,42.74811944
"36","Albany NY","Baltimore MD",2296,-76.66819833,39.17540167,-73.80297861,42.74811944
"37","Albany NY","Cleveland OH",1106,-81.68333333,41.5175,-73.80297861,42.74811944
"38","Albuquerque NM","Phoenix AZ",5234,-112.0825614,33.68831667,-106.6091944,35.04022222
"39","Albuquerque NM","Durango CO",1,-107.7537692,37.15151667,-106.6091944,35.04022222
"40","Albuquerque NM","San Antonio TX",426,-98.46977778,29.53369444,-106.6091944,35.04022222
"41","Albuquerque NM","Lubbock TX",366,-101.8227778,33.66363889,-106.6091944,35.04022222
"42","Albuquerque NM","Oklahoma City OK",231,-97.82354556,35.4880825,-106.6091944,35.04022222
"43","Albuquerque NM","Covington KY",260,-84.6621725,39.04614278,-106.6091944,35.04022222
"44","Albuquerque NM","Cleveland OH",12,-81.68333333,41.5175,-106.6091944,35.04022222
"45","Albuquerque NM","Los Angeles CA",2415,-118.4080744,33.94253611,-106.6091944,35.04022222
"46","Albuquerque NM","Chantilly VA",365,-77.45580972,38.94453194,-106.6091944,35.04022222
"47","Albuquerque NM","Salt Lake City UT",2293,-111.9777731,40.78838778,-106.6091944,35.04022222
"48","Albuquerque NM","Las Vegas NV",2408,-115.1327708,35.97636444,-106.6091944,35.04022222
"49","Albuquerque NM","Tampa FL",366,-82.53325,27.97547222,-106.6091944,35.04022222
"50","Albuquerque NM","Oakland CA",1004,-122.2207167,37.72129083,-106.6091944,35.04022222
"51","Albuquerque NM","Omaha NE",1,-96.11227778,41.196,-106.6091944,35.04022222
"52","Albuquerque NM","Kansas City MO",670,-94.71390556,39.29760528,-106.6091944,35.04022222
"53","Albuquerque NM","Amarillo TX",366,-101.7059272,35.2193725,-106.6091944,35.04022222
"54","Albuquerque NM","Newark NJ",166,-74.16866056,40.69249722,-106.6091944,35.04022222
"55","Albuquerque NM","Houston TX",3284,-95.55277778,30.06186111,-106.6091944,35.04022222
"56","Albuquerque NM","San Diego CA",1054,-117.1395664,32.81573306,-106.6091944,35.04022222
"57","Albuquerque NM","Minneapolis MN",677,-93.21138889,45.145,-106.6091944,35.04022222
"58","Albuquerque NM","El Paso TX",792,-106.3778056,31.80666667,-106.6091944,35.04022222
"59","Albuquerque NM","Baltimore MD",549,-76.66819833,39.17540167,-106.6091944,35.04022222
"60","Albuquerque NM","Dallas TX",3106,-96.80027778,32.77333333,-106.6091944,35.04022222
"61","Albuquerque NM","Denver CO",4309,-104.8492942,39.57012833,-106.6091944,35.04022222
"62","Albuquerque NM","Austin TX",435,-97.66987194,30.19453278,-106.6091944,35.04022222
"63","Albuquerque NM","Tucson AZ",718,-111.1728611,32.14308333,-106.6091944,35.04022222
"64","Albuquerque NM","Tulsa OK",229,-95.984635,36.0396275,-106.6091944,35.04022222
"65","Albuquerque NM","Atlanta GA",1064,-84.42694444,33.64044444,-106.6091944,35.04022222
"66","Albuquerque NM","Sacramento CA",466,-121.2975908,38.55389694,-106.6091944,35.04022222
"67","Albuquerque NM","Orlando FL",726,-81.43708333,28.28980556,-106.6091944,35.04022222
"68","Albuquerque NM","St Louis MO",366,-90.50830417,38.72752,-106.6091944,35.04022222
"69","Albuquerque NM","Midland TX",366,-102.2019139,31.94252778,-106.6091944,35.04022222
"70","Albuquerque NM","Seattle WA",708,-122.3019561,47.52998917,-106.6091944,35.04022222
"71","Albuquerque NM","Chicago IL",1484,-87.60791167,41.85884389,-106.6091944,35.04022222
"72","Albuquerque NM","Dallas-Fort Worth TX",2888,-97.0372,32.89595056,-106.6091944,35.04022222
"73","Albuquerque NM","Colorado Springs CO",1,-104.5698933,38.94574889,-106.6091944,35.04022222
"74","Albuquerque NM","Ontario CA",443,-117.6011944,34.056,-106.6091944,35.04022222
"75","Albuquerque NM","San Francisco CA",529,-122.3748433,37.61900194,-106.6091944,35.04022222
"76","Albuquerque NM","Portland OR",366,-122.6709289,45.52527778,-106.6091944,35.04022222
"77","Alexandria LA","Atlanta GA",982,-84.42694444,33.64044444,-92.54855611,31.32737167
"78","Alexandria LA","Dallas-Fort Worth TX",1003,-97.0372,32.89595056,-92.54855611,31.32737167
"79","Alexandria LA","Houston TX",342,-95.55277778,30.06186111,-92.54855611,31.32737167
"80","Allentown PA","Milwaukee WI",1,-87.89658333,42.94722222,-75.48830556,40.57027778
"81","Allentown PA","Chicago IL",1426,-87.60791167,41.85884389,-75.48830556,40.57027778
"82","Allentown PA","Charlotte NC",465,-80.94312583,35.21401111,-75.48830556,40.57027778
"83","Allentown PA","Lincoln NE",1,-96.75925,40.85097222,-75.48830556,40.57027778
"84","Allentown PA","Cleveland OH",805,-81.68333333,41.5175,-75.48830556,40.57027778
"85","Allentown PA","Detroit MI",997,-83.00986111,42.40919444,-75.48830556,40.57027778
"86","Allentown PA","Atlanta GA",852,-84.42694444,33.64044444,-75.48830556,40.57027778
"87","Allentown PA","Covington KY",248,-84.6621725,39.04614278,-75.48830556,40.57027778
"88","Amarillo TX","Denver CO",731,-104.8492942,39.57012833,-101.7059272,35.2193725
"89","Amarillo TX","Albuquerque NM",368,-106.6091944,35.04022222,-101.7059272,35.2193725
"90","Amarillo TX","San Antonio TX",1,-98.46977778,29.53369444,-101.7059272,35.2193725
"91","Amarillo TX","Dallas-Fort Worth TX",2551,-97.0372,32.89595056,-101.7059272,35.2193725
"92","Amarillo TX","Houston TX",807,-95.55277778,30.06186111,-101.7059272,35.2193725
"93","Amarillo TX","Dallas TX",2665,-96.80027778,32.77333333,-101.7059272,35.2193725
"94","Amarillo TX","Las Vegas NV",367,-115.1327708,35.97636444,-101.7059272,35.2193725
"95","Anchorage AK","Denver CO",451,-104.8492942,39.57012833,-149.9961856,61.17432028
"96","Anchorage AK","Portland OR",576,-122.6709289,45.52527778,-149.9961856,61.17432028
"97","Anchorage AK","Detroit MI",96,-83.00986111,42.40919444,-149.9961856,61.17432028
"98","Anchorage AK","Adak AK",102,-176.6460306,51.87796389,-149.9961856,61.17432028
"99","Anchorage AK","Cordova AK",363,-145.4776503,60.49183389,-149.9961856,61.17432028
"100","Anchorage AK","Bethel AK",1035,-161.8379975,60.77977639,-149.9961856,61.17432028
"101","Anchorage AK","King Salmon AK",78,-156.6492175,58.67680167,-149.9961856,61.17432028
"102","Anchorage AK","Los Angeles CA",239,-118.4080744,33.94253611,-149.9961856,61.17432028
"103","Anchorage AK","Houston TX",206,-95.55277778,30.06186111,-149.9961856,61.17432028
"104","Anchorage AK","Salt Lake City UT",478,-111.9777731,40.78838778,-149.9961856,61.17432028
"105","Anchorage AK","Barrow AK",364,-156.7660019,71.2854475,-149.9961856,61.17432028
"106","Anchorage AK","Nome AK",729,-165.4452458,64.51220222,-149.9961856,61.17432028
"107","Anchorage AK","Seattle WA",6256,-122.3019561,47.52998917,-149.9961856,61.17432028
"108","Anchorage AK","Atlanta GA",115,-84.42694444,33.64044444,-149.9961856,61.17432028
"109","Anchorage AK","Honolulu HI",236,-157.9224072,21.31869111,-149.9961856,61.17432028
