"","location_origin","location_dest","Month","DayofMonth","DepDelay","Cancelled","WeatherDelay"
"17343","Arlington VA","Atlanta GA",6,23,262,2,0
"17344","Arlington VA","Atlanta GA",8,15,97,1,0
"17345","Arlington VA","Atlanta GA",11,16,97,0,0
"17346","Arlington VA","Atlanta GA",9,27,128,2,0
"17347","Arlington VA","Atlanta GA",4,9,-27,1,0
"17348","Arlington VA","Atlanta GA",2,6,-5,0,0
"17349","Arlington VA","Atlanta GA",9,7,-47,0,0
"17350","Arlington VA","Atlanta GA",12,14,84,0,0
"17351","Arlington VA","Atlanta GA",7,23,1424,3,0
"17352","Arlington VA","Atlanta GA",3,26,-86,2,0
"17353","Arlington VA","Atlanta GA",4,30,-61,0,0
"17354","Arlington VA","Atlanta GA",6,28,50,2,0
"17355","Arlington VA","Atlanta GA",2,17,672,0,0
"17356","Arlington VA","Atlanta GA",2,25,-18,0,0
"17357","Arlington VA","Atlanta GA",2,1,93,0,0
"17358","Arlington VA","Atlanta GA",7,20,213,0,0
"17359","Arlington VA","Atlanta GA",11,17,218,0,0
"17360","Arlington VA","Atlanta GA",4,28,75,0,0
"17361","Arlington VA","Atlanta GA",11,26,3,0,0
"17362","Arlington VA","Atlanta GA",8,11,345,1,0
"17363","Arlington VA","Atlanta GA",4,14,288,0,0
"17364","Arlington VA","Atlanta GA",11,25,57,0,0
"17365","Arlington VA","Atlanta GA",6,5,243,1,0
"17366","Arlington VA","Atlanta GA",3,2,-77,0,0
"17367","Arlington VA","Atlanta GA",1,8,-93,1,0
"17368","Arlington VA","Atlanta GA",10,7,-68,0,0
"17369","Arlington VA","Atlanta GA",1,29,-100,0,0
"17370","Arlington VA","Atlanta GA",4,17,276,0,0
"17371","Arlington VA","Atlanta GA",11,8,-6,0,0
"17372","Arlington VA","Atlanta GA",1,14,-99,0,0
"17373","Arlington VA","Atlanta GA",2,7,-103,0,0
"17374","Arlington VA","Atlanta GA",12,24,563,0,0
"17375","Arlington VA","Atlanta GA",10,5,-56,0,0
"17376","Arlington VA","Atlanta GA",7,26,91,0,0
"17377","Arlington VA","Atlanta GA",10,15,-51,0,0
"17378","Arlington VA","Atlanta GA",6,10,63,4,0
"17379","Arlington VA","Atlanta GA",5,26,-29,0,0
"17380","Arlington VA","Atlanta GA",4,24,-51,0,0
"17381","Arlington VA","Atlanta GA",5,31,878,0,142
"17382","Arlington VA","Atlanta GA",8,18,-37,0,0
"17383","Arlington VA","Atlanta GA",6,4,976,2,211
"17384","Arlington VA","Atlanta GA",7,5,475,0,58
"17385","Arlington VA","Atlanta GA",4,5,138,0,0
"17386","Arlington VA","Atlanta GA",11,3,-71,0,0
"17387","Arlington VA","Atlanta GA",7,15,49,0,0
"17388","Arlington VA","Atlanta GA",9,12,165,1,0
"17389","Arlington VA","Atlanta GA",2,3,-113,0,0
"17390","Arlington VA","Atlanta GA",1,27,1,0,0
"17391","Arlington VA","Atlanta GA",7,14,562,3,0
"17392","Arlington VA","Atlanta GA",11,21,4,0,0
"17393","Arlington VA","Atlanta GA",2,4,-26,0,28
"17394","Arlington VA","Atlanta GA",4,13,129,0,0
"17395","Arlington VA","Atlanta GA",5,17,149,0,0
"17396","Arlington VA","Atlanta GA",2,16,158,1,0
"17397","Arlington VA","Atlanta GA",1,2,56,0,0
"17398","Arlington VA","Atlanta GA",9,28,57,0,0
"17399","Arlington VA","Atlanta GA",12,13,34,0,0
"17400","Arlington VA","Atlanta GA",7,2,-20,0,0
"17401","Arlington VA","Atlanta GA",10,13,41,0,0
"17402","Arlington VA","Atlanta GA",10,8,831,1,0
"17403","Arlington VA","Atlanta GA",1,13,-36,0,0
"17404","Arlington VA","Atlanta GA",4,10,75,0,0
"17405","Arlington VA","Atlanta GA",3,9,244,3,0
"17406","Arlington VA","Atlanta GA",5,18,-1,0,0
"17407","Arlington VA","Atlanta GA",12,15,66,0,0
"17408","Arlington VA","Atlanta GA",6,16,654,2,78
"17409","Arlington VA","Atlanta GA",6,29,337,0,83
"17410","Arlington VA","Atlanta GA",3,20,186,0,0
"17411","Arlington VA","Atlanta GA",11,20,-16,0,0
"17412","Arlington VA","Atlanta GA",5,12,22,0,0
"17413","Arlington VA","Atlanta GA",9,26,65,0,0
"17414","Arlington VA","Atlanta GA",5,9,65,0,0
"17415","Arlington VA","Atlanta GA",4,6,150,0,0
"17416","Arlington VA","Atlanta GA",3,7,268,0,0
"17417","Arlington VA","Atlanta GA",10,17,136,0,0
"17418","Arlington VA","Atlanta GA",7,6,1841,2,555
"17419","Arlington VA","Atlanta GA",8,29,203,0,0
"17420","Arlington VA","Atlanta GA",3,31,112,0,0
"17421","Arlington VA","Atlanta GA",2,26,158,0,0
"17422","Arlington VA","Atlanta GA",8,17,-65,0,0
"17423","Arlington VA","Atlanta GA",8,4,75,1,0
"17424","Arlington VA","Atlanta GA",6,12,249,0,0
"17425","Arlington VA","Atlanta GA",5,2,226,0,0
"17426","Arlington VA","Atlanta GA",1,4,-84,1,0
"17427","Arlington VA","Atlanta GA",4,23,-58,0,0
"17428","Arlington VA","Atlanta GA",12,19,108,0,0
"17429","Arlington VA","Atlanta GA",4,20,131,0,0
"17430","Arlington VA","Atlanta GA",9,11,-9,0,0
"17431","Arlington VA","Atlanta GA",7,25,188,1,0
"17432","Arlington VA","Atlanta GA",11,13,352,1,0
"17433","Arlington VA","Atlanta GA",4,3,109,0,0
"17434","Arlington VA","Atlanta GA",6,9,-47,2,0
"17435","Arlington VA","Atlanta GA",6,18,48,0,0
"17436","Arlington VA","Atlanta GA",2,12,20,1,0
"17437","Arlington VA","Atlanta GA",3,15,1263,0,0
"17438","Arlington VA","Atlanta GA",1,15,-59,1,0
"17439","Arlington VA","Atlanta GA",11,19,256,0,0
"17440","Arlington VA","Atlanta GA",1,18,501,0,0
"17441","Arlington VA","Atlanta GA",4,29,-98,0,0
"17442","Arlington VA","Atlanta GA",9,5,-25,0,0
"17443","Arlington VA","Atlanta GA",5,19,106,0,0
"17444","Arlington VA","Atlanta GA",3,17,18,0,0
"17445","Arlington VA","Atlanta GA",10,26,0,0,0
"17446","Arlington VA","Atlanta GA",2,2,-67,0,0
"17447","Arlington VA","Atlanta GA",6,6,63,1,0
"17448","Arlington VA","Atlanta GA",8,16,-16,0,0
"17449","Arlington VA","Atlanta GA",10,31,176,0,0
"17450","Arlington VA","Atlanta GA",5,23,293,0,0
"17451","Arlington VA","Atlanta GA",3,22,35,0,0
"17452","Arlington VA","Atlanta GA",8,10,113,1,0
"17453","Arlington VA","Atlanta GA",4,18,-41,0,0
"17454","Arlington VA","Atlanta GA",8,6,-42,0,0
"17455","Arlington VA","Atlanta GA",5,1,327,0,0
