,location_origin,location_dest,Month,DayofMonth,DepDelay,Cancelled,WeatherDelay
41486,Boston MA,Arlington VA,5,13,-108,0,0
41487,Boston MA,Arlington VA,4,24,-95,1,0
41488,Boston MA,Arlington VA,10,22,-55,0,0
41489,Boston MA,Arlington VA,9,7,-92,0,0
41490,Boston MA,Arlington VA,5,29,-100,1,0
41491,Boston MA,Arlington VA,12,30,-30,0,0
41492,Boston MA,Arlington VA,3,14,57,1,0
41493,Boston MA,Arlington VA,11,8,-29,0,0
41494,Boston MA,Arlington VA,8,3,247,0,65
41495,Boston MA,Arlington VA,12,20,855,1,107
41496,Boston MA,Arlington VA,10,29,-21,1,0
41497,Boston MA,Arlington VA,2,20,-78,0,0
41498,Boston MA,Arlington VA,8,26,45,1,40
41499,Boston MA,Arlington VA,4,17,106,1,0
41500,Boston MA,Arlington VA,4,18,-10,0,0
41501,Boston MA,Arlington VA,11,4,-123,3,0
41502,Boston MA,Arlington VA,2,3,-54,0,0
41503,Boston MA,Arlington VA,1,4,53,0,0
41504,Boston MA,Arlington VA,12,17,308,1,65
41505,Boston MA,Arlington VA,10,10,-43,0,24
41506,Boston MA,Arlington VA,9,28,61,0,0
41507,Boston MA,Arlington VA,6,4,1501,3,695
41508,Boston MA,Arlington VA,1,10,-83,1,0
41509,Boston MA,Arlington VA,11,25,93,1,41
41510,Boston MA,Arlington VA,10,7,-97,0,0
41511,Boston MA,Arlington VA,5,17,-37,0,0
41512,Boston MA,Arlington VA,1,16,-39,1,0
41513,Boston MA,Arlington VA,3,26,-87,0,0
41514,Boston MA,Arlington VA,6,28,156,0,0
41515,Boston MA,Arlington VA,6,18,65,0,85
41516,Boston MA,Arlington VA,7,22,-11,2,0
41517,Boston MA,Arlington VA,12,14,12,1,0
41518,Boston MA,Arlington VA,5,31,709,0,0
41519,Boston MA,Arlington VA,4,12,116,0,10
41520,Boston MA,Arlington VA,6,23,386,1,100
41521,Boston MA,Arlington VA,2,25,240,2,0
41522,Boston MA,Arlington VA,9,14,288,1,121
41523,Boston MA,Arlington VA,7,5,-14,0,0
41524,Boston MA,Arlington VA,7,6,274,0,107
41525,Boston MA,Arlington VA,4,11,113,1,53
41526,Boston MA,Arlington VA,2,18,242,1,0
41527,Boston MA,Arlington VA,10,15,-59,1,0
41528,Boston MA,Arlington VA,12,15,186,0,0
41529,Boston MA,Arlington VA,3,27,91,1,75
41530,Boston MA,Arlington VA,4,21,-40,1,0
41531,Boston MA,Arlington VA,7,20,290,2,0
41532,Boston MA,Arlington VA,5,26,95,0,0
41533,Boston MA,Arlington VA,11,9,83,0,0
41534,Boston MA,Arlington VA,1,27,175,2,15
41535,Boston MA,Arlington VA,9,11,-124,0,21
41536,Boston MA,Arlington VA,12,18,-88,0,0
41537,Boston MA,Arlington VA,12,24,392,0,0
41538,Boston MA,Arlington VA,11,17,-139,0,0
41539,Boston MA,Arlington VA,9,26,169,1,5
41540,Boston MA,Arlington VA,5,27,458,3,349
41541,Boston MA,Arlington VA,5,16,-72,0,0
41542,Boston MA,Arlington VA,3,25,54,0,0
41543,Boston MA,Arlington VA,8,15,301,3,0
41544,Boston MA,Arlington VA,2,26,-137,0,0
41545,Boston MA,Arlington VA,6,26,178,1,26
41546,Boston MA,Arlington VA,4,10,-29,0,0
41547,Boston MA,Arlington VA,11,29,-18,0,0
41548,Boston MA,Arlington VA,11,24,-175,0,0
41549,Boston MA,Arlington VA,12,11,69,0,5
41550,Boston MA,Arlington VA,6,14,187,0,0
41551,Boston MA,Arlington VA,7,25,-32,2,0
41552,Boston MA,Arlington VA,2,8,192,0,81
41553,Boston MA,Arlington VA,10,17,-134,0,0
41554,Boston MA,Arlington VA,2,7,-22,1,0
41555,Boston MA,Arlington VA,1,8,-99,0,0
41556,Boston MA,Arlington VA,12,8,-50,0,0
41557,Boston MA,Arlington VA,1,28,9,1,0
41558,Boston MA,Arlington VA,3,5,202,1,246
41559,Boston MA,Arlington VA,5,12,7,0,0
41560,Boston MA,Arlington VA,2,1,156,3,14
41561,Boston MA,Arlington VA,3,10,241,1,0
41562,Boston MA,Arlington VA,10,30,-75,0,0
41563,Boston MA,Arlington VA,11,7,282,0,199
41564,Boston MA,Arlington VA,10,4,-56,0,0
41565,Boston MA,Arlington VA,12,26,-27,0,0
41566,Boston MA,Arlington VA,10,8,5,0,0
41567,Boston MA,Arlington VA,6,29,211,1,0
41568,Boston MA,Arlington VA,5,19,-80,0,0
41569,Boston MA,Arlington VA,7,2,588,1,104
41570,Boston MA,Arlington VA,8,7,561,2,237
41571,Boston MA,Arlington VA,8,28,33,2,0
41572,Boston MA,Arlington VA,8,27,-101,0,0
41573,Boston MA,Arlington VA,11,3,-88,0,0
41574,Boston MA,Arlington VA,6,1,36,0,0
41575,Boston MA,Arlington VA,12,23,434,1,40
41576,Boston MA,Arlington VA,1,20,15,2,0
41577,Boston MA,Arlington VA,3,1,131,0,0
41578,Boston MA,Arlington VA,8,6,222,3,0
41579,Boston MA,Arlington VA,3,31,260,0,148
41580,Boston MA,Arlington VA,5,10,-22,0,0
41581,Boston MA,Arlington VA,2,22,88,13,44
41582,Boston MA,Arlington VA,6,12,39,0,43
41583,Boston MA,Arlington VA,3,15,127,0,33
41584,Boston MA,Arlington VA,2,9,-51,1,0
41585,Boston MA,Arlington VA,12,1,158,0,50
41586,Boston MA,Arlington VA,1,29,-171,0,0
41587,Boston MA,Arlington VA,4,26,-46,0,0
41588,Boston MA,Arlington VA,6,3,14,0,74
41589,Boston MA,Arlington VA,1,31,-124,0,0
41590,Boston MA,Arlington VA,3,16,394,0,0
41591,Boston MA,Arlington VA,12,25,168,0,0
41592,Boston MA,Arlington VA,4,28,570,1,169
41593,Boston MA,Arlington VA,4,3,-77,0,0
41594,Boston MA,Arlington VA,11,13,208,0,74
41595,Boston MA,Arlington VA,10,2,-68,0,0
41596,Boston MA,Arlington VA,2,19,-122,0,0
41597,Boston MA,Arlington VA,11,1,-53,0,0
41598,Boston MA,Arlington VA,4,13,56,0,15
41599,Boston MA,Arlington VA,2,17,-41,1,0
41600,Boston MA,Arlington VA,7,28,257,1,0
41601,Boston MA,Arlington VA,10,6,-136,0,0
