"","location_dest","location_origin","total","long_origin","lat_origin","long_dest","lat_dest"
"1","Abilene TX","Champaign/Urbana IL",1,-88.27805556,40.03925,-99.68189722,32.41132
"2","Albuquerque NM","Durango CO",1,-107.7537692,37.15151667,-106.6091944,35.04022222
"3","Albuquerque NM","Lubbock TX",366,-101.8227778,33.66363889,-106.6091944,35.04022222
"4","Albuquerque NM","Amarillo TX",366,-101.7059272,35.2193725,-106.6091944,35.04022222
"5","Albuquerque NM","Dallas TX",3106,-96.80027778,32.77333333,-106.6091944,35.04022222
"6","Albuquerque NM","Midland TX",366,-102.2019139,31.94252778,-106.6091944,35.04022222
"7","Allentown PA","Lincoln NE",1,-96.75925,40.85097222,-75.48830556,40.57027778
"8","Anchorage AK","Adak AK",102,-176.6460306,51.87796389,-149.9961856,61.17432028
"9","Anchorage AK","Cordova AK",363,-145.4776503,60.49183389,-149.9961856,61.17432028
"10","Anchorage AK","Bethel AK",1035,-161.8379975,60.77977639,-149.9961856,61.17432028
"11","Anchorage AK","King Salmon AK",78,-156.6492175,58.67680167,-149.9961856,61.17432028
"12","Anchorage AK","Barrow AK",364,-156.7660019,71.2854475,-149.9961856,61.17432028
"13","Anchorage AK","Nome AK",729,-165.4452458,64.51220222,-149.9961856,61.17432028
"14","Anchorage AK","Seattle WA",6256,-122.3019561,47.52998917,-149.9961856,61.17432028
"15","Anchorage AK","Deadhorse AK",363,-148.4651608,70.19475583,-149.9961856,61.17432028
"16","Anchorage AK","Kotzebue AK",361,-162.5985497,66.88467694,-149.9961856,61.17432028
"17","Anchorage AK","Kodiak AK",706,-152.4938553,57.74996778,-149.9961856,61.17432028
"18","Anchorage AK","Juneau AK",1163,-134.4077778,58.29888889,-149.9961856,61.17432028
"19","Anchorage AK","Dillingham AK",116,-158.5033389,59.0454125,-149.9961856,61.17432028
"20","Anchorage AK","Fairbanks AK",2853,-147.8596694,64.8136775,-149.9961856,61.17432028
"21","Arcata/Eureka CA","Crescent City CA",360,-124.2365333,41.78015722,-124.1086189,40.97811528
"22","Arlington VA","Boston MA",8899,-71.00517917,42.3643475,-77.03772222,38.85208333
"23","Arlington VA","New York NY",14004,-73.97208306,40.74260167,-77.03772222,38.85208333
"24","Arlington VA","Pellston MI",1,-84.796715,45.5709275,-77.03772222,38.85208333
"25","Arlington VA","Miami FL",2982,-80.29055556,25.79325,-77.03772222,38.85208333
"26","Arlington VA","Charlottesville VA",1,-78.45286111,38.13863889,-77.03772222,38.85208333
"27","Atlanta GA","Rochester NY",2488,-77.67238389,43.11886611,-84.42694444,33.64044444
"28","Atlanta GA","Dayton OH",4369,-84.219375,39.90237583,-84.42694444,33.64044444
"29","Atlanta GA","Bozeman MT",60,-111.1530072,45.77690139,-84.42694444,33.64044444
"30","Atlanta GA","Fayetteville NC",2172,-78.88,34.99147222,-84.42694444,33.64044444
"31","Atlanta GA","New Bern NC",791,-77.04294444,35.07297222,-84.42694444,33.64044444
"32","Atlanta GA","McAllen TX",10,-98.23861111,26.17583333,-84.42694444,33.64044444
